50 18
#################################################
#			              		#
#			                        #						
#			                        #
#						#
#			                        #
#			                        #
#				                #
#			                        #
#			                        #
#			                        #
#			                        #									
#			                        #
#			                        #
#			                        #
#			                        #
#			                        #
#################################################						
